gen,evals,std,min,avg,max
69,100,[ 6.16695242 19.65609066],9.022,23.36838,33.684
70,100,[ 6.28048269 19.77883718],9.022,23.23,33.684
71,100,[ 6.18463043 19.76191033],11.26,23.38932,33.684
72,100,[ 6.30893852 20.01694033],10.398,23.13748,33.684
73,100,[ 6.26573053 20.25752946],10.398,23.390500000000003,33.684
74,100,[ 6.55546667 20.61033479],7.37,23.303780000000003,33.684
75,100,[ 6.63603796 21.02242612],7.37,23.463160000000002,33.684
76,100,[ 6.70505366 21.16926782],7.37,23.577720000000014,33.684
77,100,[ 6.74918628 21.25764804],7.37,23.555700000000012,33.684
78,100,[ 6.71255861 21.63243861],7.37,23.497460000000004,33.684
79,100,[ 6.623356 21.514358],7.37,23.85528000000001,33.684
80,100,[ 6.85768806 20.42841159],7.37,23.306980000000014,34.926
81,100,[ 6.83877617 21.00097855],7.37,23.467820000000014,34.926
82,100,[ 7.03307776 21.26912316],7.37,23.536720000000006,34.926
83,100,[ 7.04518319 21.61822148],7.37,23.573260000000005,34.926
84,100,[ 7.00819554 20.6096555 ],4.43,23.45366000000001,34.926
85,100,[ 7.00723323 20.61270482],4.43,23.461680000000005,34.926
86,100,[ 7.00746951 20.69495349],4.43,23.535280000000007,34.926
87,100,[ 7.09466789 20.84759938],4.43,23.586320000000004,34.926
88,100,[ 7.22064932 21.03448597],4.43,23.528739999999992,34.926
89,100,[ 7.22406237 21.03164045],4.43,23.538299999999996,34.926
90,100,[ 7.49011198 21.64571782],6.932,23.53616,34.926
91,100,[ 7.38679677 21.73037275],6.932,23.745019999999997,34.926
92,100,[ 7.3123644  22.29199632],9.686,23.902319999999985,34.926
93,100,[ 7.38484205 22.12266711],9.686,23.718899999999984,34.926
94,100,[ 7.52763696 22.55526546],9.686,23.471599999999988,34.926
95,100,[ 7.55996992 22.95624316],9.686,23.73111999999999,34.926
96,100,[ 7.62071884 23.01480176],9.686,23.550219999999996,34.926
97,100,[ 7.8958187  22.65789046],3.6679999999999997,23.431360000000005,34.926
98,100,[ 7.97921161 22.66516931],3.6679999999999997,23.22984,34.926
99,100,[ 7.99821177 22.17047361],3.6679999999999997,23.00099999999999,34.926
